Incident Number,Time in Alarm DateTime,Incident Date,Total Time Dispatch Notified to Last Unit Cleared(seconds),Incident Type Code,Incident Type,Location Street Address,Latitude,Longitude,Location ZIP
36857,10/1/2022 10:03,10/1/2022,0,154,Dumpster or other outside trash receptacle fire,3430 DALWORTH                  ST,0.33,-0.97,76011
37023,10/2/2022 12:43,10/2/2022,1373,154,Dumpster or other outside trash receptacle fire,900 E  RANDOL MILL               RD,0.33,-0.97,76011
22-0037161,10/3/2022 17:00,10/3/2022,4020,142,Brush or brush-and-grass mixture fire,601 West PIONEER PWY AR,0,0,76010
22-0037247,10/4/2022 5:40,10/4/2022,7010,160,"Special outside fire, other",5601 QUAIL LN AR,0,0,76016
22-0037284,10/4/2022 12:10,10/4/2022,3376,151,"Outside rubbish, trash or waste fire",715 East MITCHELL Street,0,0,76001
22-0037320,10/4/2022 17:43,10/4/2022,815,154,Dumpster or other outside trash receptacle fire,East SOUTH Street,0,0,76010
22-0037347,10/4/2022 20:05,10/4/2022,3942,111,Building fire,1408 STRAWBERRY LN,0,0,76011
22-0037404,10/5/2022 11:32,10/5/2022,3739,143,Grass fire,1111 MINERAL SPRINGS RD AR,0,0,76001
22-0037424,10/5/2022 13:52,10/5/2022,714,151,"Outside rubbish, trash or waste fire",913 SHADY OAKS CT AR,0,0,76012
22-0037426,10/5/2022 13:50,10/5/2022,1197,113,"Cooking fire, confined to container","1502 VILLAGE CIR AR,327:SERENA Vista",0,0,76012
22-0037481,10/5/2022 19:43,10/5/2022,4591,131,Passenger vehicle fire,US 287 NB TO I20 EB RMP Highway,0,0,76017
22-0037512,10/6/2022 1:46,10/6/2022,6827,111,Building fire,708 Bonnet Trail Trail,0,0,76001
22-0037576,10/6/2022 14:17,10/6/2022,833,150,"Outside rubbish fire, other",1703 SPRING LAKE Drive,0,0,76012
22-0037591,10/6/2022 16:04,10/6/2022,1066,113,"Cooking fire, confined to container",2008 MAYFIELD VILLA Drive,0,0,76014
22-0037640,10/6/2022 22:42,10/6/2022,1121,154,Dumpster or other outside trash receptacle fire,1606 STONECREST Lane,0,0,76011
22-0037701,10/7/2022 12:25,10/7/2022,586,132,Road freight or transport vehicle fire,US 287 HWY SB,0,0,76001
22-0037753,10/7/2022 18:02,10/7/2022,1228,143,Grass fire,517 SANDPIPER Drive,0,0,76013
22-0037754,10/7/2022 18:11,10/7/2022,1030,150,"Outside rubbish fire, other",West I20 HWY WB,0,0,76017
22-0037755,10/7/2022 18:07,10/7/2022,1479,113,"Cooking fire, confined to container",1518 RAINES Street,0,0,76010
22-0037798,10/8/2022 1:23,10/8/2022,1284,113,"Cooking fire, confined to container",807 COTTONCREEK Circle,0,0,76011
22-0037825,10/8/2022 10:11,10/8/2022,2636,111,Building fire,709 GRAND Court,0,0,76013
22-0037899,10/8/2022 21:31,10/8/2022,2545,111,Building fire,221 SEEGERS Drive,0,0,76018
22-0037903,10/8/2022 22:47,10/8/2022,1019,113,"Cooking fire, confined to container",7001 SILBER Road,0,0,76017
22-0037932,10/9/2022 4:59,10/9/2022,13598,111,Building fire,1211 BEACONSFIELD Lane,0,0,76011
22-0037937,10/9/2022 6:10,10/9/2022,9323,111,Building fire,2419 East TIMBERVIEW Lane,0,0,76014
22-0038005,10/9/2022 19:30,10/9/2022,1324,150,"Outside rubbish fire, other",3200 SEABOARD Drive,0,0,76014
22-0038031,10/10/2022 1:59,10/10/2022,1897,116,"Fuel burner/boiler malfunction, fire confined",315 HOLLANDALE Circle,0,0,76010
22-0038109,10/10/2022 14:33,10/10/2022,3300,161,Outside storage fire,4900 SHERRY Street,0,0,76014
22-0038127,10/10/2022 17:00,10/10/2022,3095,151,"Outside rubbish, trash or waste fire",1301 WISCASSET Drive,0,0,76010
22-0038146,10/10/2022 21:26,10/10/2022,964,114,"Chimney or flue fire, confined to chimney or flue",300 West FIRST Street,0,0,76010
22-0038159,10/10/2022 22:58,10/10/2022,2373,112,Fires in structure other than in a building,1251 North WATSON Road,0,0,76006
22-0038177,10/11/2022 3:40,10/11/2022,1551,154,Dumpster or other outside trash receptacle fire,5908 South COOPER Street,0,0,76001
22-0038238,10/11/2022 13:10,10/11/2022,1943,113,"Cooking fire, confined to container",5716 SPYGLASS HILL Drive,0,0,76018
22-0038265,10/11/2022 15:36,10/11/2022,1287,143,Grass fire,2903 East PIONEER PWY,0,0,76010
22-0038278,10/11/2022 17:42,10/11/2022,2083,113,"Cooking fire, confined to container",2201 GRANITE Drive,0,0,76013
22-0038291,10/11/2022 18:56,10/11/2022,2064,154,Dumpster or other outside trash receptacle fire,805 South CENTER Street,0,0,76010
22-0038293,10/11/2022 19:25,10/11/2022,1220,151,"Outside rubbish, trash or waste fire",1602 SKYLARK Drive,0,0,76010
